MES  NOSSO_NUMERO  

  6         5.878  
  6         5.903  
  6         5.913  
  6         5.948  
  6         6.038  
  6         6.053  
  6         6.063  
  6         6.073  
  6         6.078  
  6         6.083  
  6         6.103  
  6         6.133  
  6         6.153  
  6         6.198  
  6         6.203  
  6         6.233  
  6         6.263  
  6         6.328  
  6         6.378  
  6         6.388  
  6         6.413  
  6         6.443  
  6         6.488  
  6         6.493  
  6         6.503  
  6         6.543  
  6         6.578  
  6         6.673  
  6         6.708  
  6         6.723  
  6         6.748  
  6         6.768  
  6         6.798  
  6         6.828  
  6         6.843  
  6         6.868  
  6         6.908  
  6         6.928  
  6         6.948  
  6         6.963  
  6         6.988  
  6         7.073  
  6         7.143  
  6         7.178  
  6         7.198  
  6         7.208  
  6         7.213  
  6         7.248  
  6         7.278  
  6         7.293  
  6         7.308  
  6         7.318  
  6         7.338  
  6         7.348  
  6         7.353  
  6         7.363  
  6         7.368  
  6         7.378  
  6         7.433  
  6         7.438  
  6         7.468  
  6         7.488  
  6         7.498  
  6         7.523  
  6         7.558  
  6         7.593  
  6         8.303  
  6         7.628  
  6         7.653  
  6         7.678  
  6         7.683  
  6         7.793  
  6         7.798  
  6         7.808  
  6         7.833  
  6         7.838  
  6         7.848  
  6         7.853  
  6         7.858  
  6         7.873  
  6         7.878  
  6         8.343  
  6         7.903  
  6         7.928  
  6         7.943  
  6         7.958  
  6         8.008  
  6         8.068  
  6         8.353  
  6         8.108  
  6         8.143  
  6         8.258  
  6         8.367  
  6         8.378  
  6         8.398  
  6         8.420  
  6         8.447  
  6         8.480  
  6         8.485  
  6         8.490  

